# Plasma Frequency Calculation Results
# Frequency (rad/s)	Spectrometer Response
3000000000000.000000000000000	0.367879441171442
3027027027027.026855468750000	0.369353904419257
3054054054054.054199218750000	0.370831304721014
3081081081081.081054687500000	0.372311630091780
3108108108108.107910156250000	0.373794868428245
3135135135135.135253906250000	0.375281007508646
3162162162162.162109375000000	0.376770034992681
3189189189189.188964843750000	0.378261938421438
3216216216216.216308593750000	0.379756705217323
3243243243243.243164062500000	0.381254322683996
3270270270270.270507812500000	0.382754778006307
3297297297297.297363281250000	0.384258058250242
3324324324324.324218750000000	0.385764150362867
3351351351351.351562500000000	0.387273041172285
3378378378378.378417968750000	0.388784717387590
3405405405405.405273437500000	0.390299165598827
3432432432432.432617187500000	0.391816372276962
3459459459459.459472656250000	0.393336323773851
3486486486486.486328125000000	0.394859006322215
3513513513513.513671875000000	0.396384406035619
3540540540540.540527343750000	0.397912508908461
3567567567567.567382812500000	0.399443300815957
3594594594594.594726562500000	0.400976767514138
3621621621621.621582031250000	0.402512894639847
3648648648648.648437500000000	0.404051667710745
3675675675675.675781250000000	0.405593072125321
3702702702702.702636718750000	0.407137093162898
3729729729729.729492187500000	0.408683715983663
3756756756756.756835937500000	0.410232925628679
3783783783783.783691406250000	0.411784707019920
3810810810810.810546875000000	0.413339044960301
3837837837837.837890625000000	0.414895924133716
3864864864864.864746093750000	0.416455329105084
3891891891891.891601562500000	0.418017244320392
3918918918918.918945312500000	0.419581654106749
3945945945945.945800781250000	0.421148542672446
3972972972972.973144531250000	0.422717894107017
4000000000000.000000000000000	0.424289692381306
4027027027027.026855468750000	0.425863921347539
4054054054054.054199218750000	0.427440564739406
4081081081081.081054687500000	0.429019606172137
4108108108108.108398437500000	0.430601029142597
4135135135135.135253906250000	0.432184817029372
4162162162162.162109375000000	0.433770953092872
4189189189189.189453125000000	0.435359420475433
4216216216216.216308593750000	0.436950202201422
4243243243243.243164062500000	0.438543281177355
4270270270270.270507812500000	0.440138640192012
4297297297297.297363281250000	0.441736261916563
4324324324324.324218750000000	0.443336128904694
4351351351351.351562500000000	0.444938223592743
4378378378378.378417968750000	0.446542528299840
4405405405405.405273437500000	0.448149025228049
4432432432432.432617187500000	0.449757696462518
4459459459459.458984375000000	0.451368523971638
4486486486486.486328125000000	0.452981489607195
4513513513513.513671875000000	0.454596575104543
4540540540540.541015625000000	0.456213762082772
4567567567567.567382812500000	0.457833032044880
4594594594594.594726562500000	0.459454366377962
4621621621621.621093750000000	0.461077746353389
4648648648648.648437500000000	0.462703153127004
4675675675675.675781250000000	0.464330567739319
4702702702702.703125000000000	0.465959971115713
4729729729729.729492187500000	0.467591344066648
4756756756756.756835937500000	0.469224667287873
4783783783783.783203125000000	0.470859921360649
